CBOT:ZN1!
NASDAQ:TLT
CME:6E1!
OANDA:AUDNZD
FX:AUDUSD
FX:EURCHF
FX:EURGBP
FX:EURUSD
FX:GBPUSD
FX:NZDUSD
FX:USDCAD
FX:USDCHF
FX:USDCNH
FX:USDJPY
XETR:DAX
CME_MINI:ES1!
XETR:EUNL
CME:GF1!
HSI:HSCEI
PEPPERSTONE:NATGAS
NASDAQ:NDX
SP:SPX
CAPITALCOM:US100
FX:US2000
CAPITALCOM:US500
ICEUS:CC1!
LSE:NGAS
CME_MINI:NQ1!
NASDAQ:AAPL
NASDAQ:AMZN
NASDAQ:GOOGL
NASDAQ:AVGO
NYSE:AXP
TSX:BNS
NYSE:DIS
NASDAQ:AMD
LSE:GAW
NASDAQ:INTC
NYSE:JPM
NYSE:KO
NYSE:LMT
NYSE:MA
NYSE:MCD
NASDAQ:META
NASDAQ:MSFT
NASDAQ:NFLX
NASDAQ:NVDA
NYSE:RACE
EURONEXT:RMS
NASDAQ:TSLA
NYSE:V
NYSE:PM
LSE:IMB
EURONEXT:MC
NYSE:QSR
LSE:BATS
NASDAQ:SBUX
NASDAQ:QCOM
CBOE:CBOE
NYSE:OXY
BME:AENA
NYSE:CVX
NYSE:FMC
BME:SAN
LSE:ABF
NYSE:ABR
TSX:AC
BME:ACS
BME:ACX
EURONEXT:AD
NASDAQ:ADBE
NYSE:ADM
NYSE:AHRT
BME:AIR
EURONEXT:AM
NYSE:AMT
NYSE:ARE
NASDAQ:ASML
LSE:AV.
NYSE:AWK
XETR:AXA
NYSE:BA
LSE:BA.
GETTEX:BAYN
NYSE:BCE
NYSE:BEN
BME:BKT
NYSE:BMO
GETTEX:BMW
NYSE:BMY
EURONEXT:BN
EURONEXT:BNP
LSE:BNZL
LSE:BRBY
LSE:BT.A
NYSE:BTI
LSE:BYG
EURONEXT:CA
NYSE:CAG
NYSE:CAH
BME:CBAV
NASDAQ:CCEP
NYSE:CCI
NYSE:CCJ
NASDAQ:CDNS
BME:CIE
NYSE:CNI
NYSE:CPT
NYSE:CVS
XETR:DB1
NYSE:DELL
LSE:DGE
GETTEX:DHL
BME:EBRO
EURONEXT:EDEN
BME:ELE
NYSE:ELV
NYSE:ENB
BME:ENG
EURONEXT:ENGI
NASDAQ:ENPH
GETTEX:EOAN
NYSE:EPR
NASDAQ:ERIC
OMXSTO:EVO
NYSE:F
XETR:FPE
TSX:FVI
NYSE:GIS
NASDAQ:GLPI
BME:GSJ
GETTEX:HEN
NYSE:HPQ
NYSE:HRL
NYSE:HSY
BME:IBE
BME:IBG
NASDAQ:IBKR
NYSE:IIPR
LSE:IOGP
NYSE:IQV
BME:ITX
LSE:JEL
NYSE:JNJ
NYSE:KD
EURONEXT:KER
NYSE:KEYS
NASDAQ:KHC
NYSE:KRC
NYSE:KRG
BME:LDA
MIL:LDO
NYSE:LEG
LSE:LGEN
EURONEXT:LI
BME:LOG
NYSE:LTC
NYSE:LW
NYSE:LYB
NYSE:LYV
NYSE:MAA
GETTEX:MBG
BME:MCM
NASDAQ:MDLZ
BME:MEL
NYSE:MMM
LSE:MNDI
NYSE:MO
MIL:MONC
NYSE:MPW
NYSE:MRK
BME:MRL
SIX:NESN
LSE:NG.
NYSE:NHI
NYSE:NKE
NYSE:NNN
OTC:NSRGY
BME:NTGY
NYSE:NVO
NYSE:O
NYSE:OHI
NASDAQ:ON
EURONEXT:OR
OTC:OTCM
NYSE:OTIS
GETTEX:P911
NYSE:PBR
NASDAQ:PEP
LSE:PETS
NYSE:PFE
NYSE:PG
NYSE:PII
NYSE:PLD
NASDAQ:PYPL
MIL:RACE
NYSE:RCI
BME:RED
BME:REP
GETTEX:RHM
EURONEXT:RI
NYSE:RIO
NASDAQ:RIVN
SIX:ROG
EURONEXT:RUI
BME:SAB
EURONEXT:SAN
LSE:SHEL
MIL:SL
BME:SLR
OTC:SMSEY
LSIN:SMSN
LSE:SPOG
NYSE:STAG
NYSE:STLA
NYSE:STWD
NYSE:STZ
LSE:SVT
NASDAQ:SWBI
NYSE:T
NYSE:TD
BME:TEF
EURONEXT:TEP
GETTEX:TGO
NYSE:TPL
NASDAQ:TROW
NYSE:TSN
NASDAQ:TXN
NYSE:UHS
LSE:ULVR
NYSE:UNH
NYSE:UPS
LSE:UU.
NYSE:VICI
BME:VID
EURONEXT:VIE
BME:VIS
NASDAQ:VOD
GETTEX:VOL1
EURONEXT:VRLA
NASDAQ:VRSN
NASDAQ:VRTX
NYSE:VZ
NASDAQ:WBD
NASDAQ:WEN
NYSE:WM
LSE:WOSG
NYSE:WPC
NYSE:ZTS
OTC:NTDOY
GETTEX:NTO
NYSE:SAP
NASDAQ:ARCC
BME:COL
MIL:TISG
BME:IDR
